"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.2,20,0,1e-04,0.985982296208218,0.939529914529915
"2","Rectifier",0.2,20,0,1e-05,0.991161315893777,0.947008547008547
"3","Rectifier",0.2,20,0,1e-06,0.993473378253402,0.953205128205128
"4","Rectifier",0.2,20,0,1e-07,0.964717928392126,0.94508547008547
"5","Rectifier",0.2,20,0,1e-08,0.985328312855067,0.95534188034188
"6","Rectifier",0.2,20,0,1e-09,0.97890077949531,0.956623931623932
"7","Rectifier",0.2,20,0,1e-10,0.949372440216673,0.933760683760684
"8","Rectifier",0.2,20,-1,1e-04,0.985876601928921,0.942094017094017
"9","Rectifier",0.2,20,-1,1e-05,0.992191835116924,0.95
"10","Rectifier",0.2,20,-1,1e-06,0.990395032368873,0.951709401709402
"11","Rectifier",0.2,20,-1,1e-07,0.98821508785837,0.944444444444444
"12","Rectifier",0.2,20,-1,1e-08,0.98695336239926,0.953418803418803
"13","Rectifier",0.2,20,-1,1e-09,0.979462280354076,0.951923076923077
"14","Rectifier",0.2,20,-1,1e-10,0.965583300303871,0.94465811965812
"15","Rectifier",0.2,20,-2,1e-04,0.979244285903025,0.92008547008547
"16","Rectifier",0.2,20,-2,1e-05,0.988545382481173,0.946474358974359
"17","Rectifier",0.2,20,-2,1e-06,0.989384330823094,0.949145299145299
"18","Rectifier",0.2,20,-2,1e-07,0.979818998546704,0.94059829059829
"19","Rectifier",0.2,20,-2,1e-08,0.986444708680143,0.958974358974359
"20","Rectifier",0.2,20,-2,1e-09,0.977506936187079,0.946367521367521
"21","Rectifier",0.2,20,-2,1e-10,0.965365305852821,0.947435897435898
