"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,40,0,1e-04,0.952074250231206,0.915811965811966
"2","Rectifier",0,40,0,1e-05,0.966468489892985,0.939529914529915
"3","Rectifier",0,40,0,1e-06,0.975842251288149,0.942094017094017
"4","Rectifier",0,40,0,1e-07,0.997635090500727,0.942735042735043
"5","Rectifier",0,40,0,1e-08,0.994820980314441,0.954700854700855
"6","Rectifier",0,40,0,1e-09,0.988908706566257,0.952564102564103
"7","Rectifier",0,40,0,1e-10,0.978035407583565,0.942948717948718
"8","Rectifier",0,40,-1,1e-04,0.954921389879773,0.936538461538462
"9","Rectifier",0,40,-1,1e-05,0.9675188267935,0.938461538461538
"10","Rectifier",0,40,-1,1e-06,0.974336107808165,0.947649572649573
"11","Rectifier",0,40,-1,1e-07,0.997014136609856,0.954273504273504
"12","Rectifier",0,40,-1,1e-08,0.994728497820056,0.953205128205128
"13","Rectifier",0,40,-1,1e-09,0.989219183511692,0.948290598290598
"14","Rectifier",0,40,-1,1e-10,0.974719249570617,0.939102564102564
"15","Rectifier",0,40,-2,1e-04,0.98876998282468,0.927777777777778
"16","Rectifier",0,40,-2,1e-05,0.980671158673537,0.948290598290598
"17","Rectifier",0,40,-2,1e-06,0.987600739859955,0.960683760683761
"18","Rectifier",0,40,-2,1e-07,0.973391465186947,0.928846153846154
"19","Rectifier",0,40,-2,1e-08,0.97254591095257,0.946153846153846
"20","Rectifier",0,40,-2,1e-09,0.988221693750826,0.947863247863248
"21","Rectifier",0,40,-2,1e-10,0.978478002378121,0.941239316239316
