"","learn_rate","max_depth","sample_rate","col_sample_rate","train_AUC","val_AUC"
"1",0.01,2,0.5,0.1,0.973774606949399,0.957371794871795
"2",0.01,2,0.5,0.2,0.978246796142159,0.95224358974359
"3",0.01,2,0.5,0.3,0.976575505350773,0.954273504273504
"4",0.01,2,0.5,0.4,0.974501255119567,0.952884615384615
"5",0.01,2,0.5,0.5,0.972460034350641,0.947435897435898
"6",0.01,2,0.5,0.6,0.973622671422909,0.953952991452991
"7",0.01,2,0.5,0.7,0.972618575769587,0.949038461538462
"8",0.01,2,0.5,0.8,0.972539305060114,0.949465811965812
"9",0.01,2,0.5,0.9,0.971482362267142,0.952350427350427
"10",0.01,2,0.5,1,0.969282600079271,0.95491452991453
"11",0.01,2,0.6,0.1,0.97353679482098,0.958333333333333
"12",0.01,2,0.6,0.2,0.979092350376536,0.950747863247863
"13",0.01,2,0.6,0.3,0.977929713304267,0.953311965811966
"14",0.01,2,0.6,0.4,0.975009908838684,0.952136752136752
"15",0.01,2,0.6,0.5,0.972004227771172,0.946901709401709
"16",0.01,2,0.6,0.6,0.973127229488704,0.948824786324786
"17",0.01,2,0.6,0.7,0.972829964328181,0.943589743589744
"18",0.01,2,0.6,0.8,0.97106619104241,0.940277777777778
"19",0.01,2,0.6,0.9,0.970346148764698,0.949358974358974
"20",0.01,2,0.6,1,0.970200819130665,0.95267094017094
"21",0.01,2,0.7,0.1,0.972724270048884,0.957371794871795
"22",0.01,2,0.7,0.2,0.979277315365306,0.955662393162393
"23",0.01,2,0.7,0.3,0.978233584357247,0.948611111111111
"24",0.01,2,0.7,0.4,0.975307173999207,0.952991452991453
"25",0.01,2,0.7,0.5,0.972453428458185,0.947970085470085
"26",0.01,2,0.7,0.6,0.974514466904479,0.949358974358974
"27",0.01,2,0.7,0.7,0.97261196987713,0.945940170940171
"28",0.01,2,0.7,0.8,0.970194213238209,0.944764957264957
"29",0.01,2,0.7,0.9,0.968311533888228,0.948931623931624
"30",0.01,2,0.7,1,0.965768265292641,0.948076923076923
"31",0.01,2,0.8,0.1,0.971323820848197,0.955448717948718
"32",0.01,2,0.8,0.2,0.979072532699168,0.953525641025641
"33",0.01,2,0.8,0.3,0.97797595455146,0.948397435897436
"34",0.01,2,0.8,0.4,0.975729951116396,0.952777777777778
"35",0.01,2,0.8,0.5,0.974217201743956,0.949679487179487
"36",0.01,2,0.8,0.6,0.974970273483948,0.948717948717949
"37",0.01,2,0.8,0.7,0.973087594133968,0.949038461538462
"38",0.01,2,0.8,0.8,0.970656625710133,0.947649572649573
"39",0.01,2,0.8,0.9,0.969256176509446,0.95042735042735
"40",0.01,2,0.8,1,0.96603910688334,0.952884615384615
"41",0.01,2,0.9,0.1,0.973232923768001,0.954166666666667
"42",0.01,2,0.9,0.2,0.977850442594795,0.952884615384615
"43",0.01,2,0.9,0.3,0.977738142423041,0.948290598290598
"44",0.01,2,0.9,0.4,0.975624256837099,0.950854700854701
"45",0.01,2,0.9,0.5,0.975280750429383,0.949358974358974
"46",0.01,2,0.9,0.6,0.973867089443784,0.948931623931624
"47",0.01,2,0.9,0.7,0.9727969348659,0.946047008547009
"48",0.01,2,0.9,0.8,0.969599682917162,0.945619658119658
"49",0.01,2,0.9,0.9,0.965233188003699,0.942735042735043
"50",0.01,2,0.9,1,0.966204254194742,0.945619658119658
"51",0.01,2,1,0.1,0.973939754260801,0.956517094017094
"52",0.01,2,1,0.2,0.978980050204783,0.952884615384615
"53",0.01,2,1,0.3,0.977546571541815,0.949465811965812
"54",0.01,2,1,0.4,0.976430175716739,0.953632478632479
"55",0.01,2,1,0.5,0.973431100541683,0.951709401709402
"56",0.01,2,1,0.6,0.97291584093011,0.949786324786325
"57",0.01,2,1,0.7,0.970200819130665,0.946047008547009
"58",0.01,2,1,0.8,0.970253666270313,0.945405982905983
"59",0.01,2,1,0.9,0.965695600475624,0.935790598290598
"60",0.01,2,1,1,0.959294490685692,0.937820512820513
"61",0.01,3,0.5,0.1,0.985321706962611,0.961111111111111
"62",0.01,3,0.5,0.2,0.987561104505219,0.96025641025641
"63",0.01,3,0.5,0.3,0.987052450786101,0.958333333333333
"64",0.01,3,0.5,0.4,0.986755185625578,0.958974358974359
"65",0.01,3,0.5,0.5,0.986497555819791,0.956944444444444
"66",0.01,3,0.5,0.6,0.986332408508389,0.959188034188034
"67",0.01,3,0.5,0.7,0.986061566917691,0.958760683760684
"68",0.01,3,0.5,0.8,0.983789139912802,0.95982905982906
"69",0.01,3,0.5,0.9,0.984740388426476,0.955662393162393
"70",0.01,3,0.5,1,0.983472057074911,0.955448717948718
"71",0.01,3,0.6,0.1,0.985876601928921,0.961324786324786
"72",0.01,3,0.6,0.2,0.988703923900119,0.958333333333333
"73",0.01,3,0.6,0.3,0.988888888888889,0.956837606837607
"74",0.01,3,0.6,0.4,0.987428986656097,0.961752136752137
"75",0.01,3,0.6,0.5,0.986147443519619,0.954380341880342
"76",0.01,3,0.6,0.6,0.986345620293302,0.949358974358974
"77",0.01,3,0.6,0.7,0.985235830360682,0.950320512820513
"78",0.01,3,0.6,0.8,0.984826265028405,0.951282051282051
"79",0.01,3,0.6,0.9,0.983458845289999,0.955982905982906
"80",0.01,3,0.6,1,0.983478662967367,0.955876068376068
"81",0.01,3,0.7,0.1,0.986041749240322,0.961752136752137
"82",0.01,3,0.7,0.2,0.988419870524508,0.962393162393162
"83",0.01,3,0.7,0.3,0.988611441405734,0.956410256410256
"84",0.01,3,0.7,0.4,0.988129211256441,0.955876068376068
"85",0.01,3,0.7,0.5,0.986484344034879,0.951175213675214
"86",0.01,3,0.7,0.6,0.987864975558198,0.952136752136752
"87",0.01,3,0.7,0.7,0.986959968291716,0.950320512820513
"88",0.01,3,0.7,0.8,0.985876601928921,0.950320512820513
"89",0.01,3,0.7,0.9,0.98544061302682,0.951923076923077
"90",0.01,3,0.7,1,0.986312590831021,0.960042735042735
"91",0.01,3,0.8,0.1,0.985149953758753,0.962393162393162
"92",0.01,3,0.8,0.2,0.988591623728366,0.958547008547009
"93",0.01,3,0.8,0.3,0.988888888888889,0.956196581196581
"94",0.01,3,0.8,0.4,0.989106883339939,0.959935897435897
"95",0.01,3,0.8,0.5,0.987640375214692,0.950854700854701
"96",0.01,3,0.8,0.6,0.98861804729819,0.954487179487179
"97",0.01,3,0.8,0.7,0.988254723213106,0.950961538461538
"98",0.01,3,0.8,0.8,0.987620557537323,0.953418803418803
"99",0.01,3,0.8,0.9,0.9861804729819,0.956303418803419
"100",0.01,3,0.8,1,0.986239926014004,0.957478632478633
"101",0.01,3,0.9,0.1,0.985922843176113,0.958119658119658
"102",0.01,3,0.9,0.2,0.989225789404149,0.960683760683761
"103",0.01,3,0.9,0.3,0.988228299643282,0.955769230769231
"104",0.01,3,0.9,0.4,0.988869071211521,0.960363247863248
"105",0.01,3,0.9,0.5,0.987805522526093,0.950106837606838
"106",0.01,3,0.9,0.6,0.988347205707491,0.952457264957265
"107",0.01,3,0.9,0.7,0.987316686484344,0.95534188034188
"108",0.01,3,0.9,0.8,0.986609855991544,0.955769230769231
"109",0.01,3,0.9,0.9,0.984984806447351,0.958440170940171
"110",0.01,3,0.9,1,0.984766811996301,0.958226495726496
"111",0.01,3,1,0.1,0.98692033293698,0.962179487179487
"112",0.01,3,1,0.2,0.989450389747655,0.960683760683761
"113",0.01,3,1,0.3,0.988882282996433,0.958547008547009
"114",0.01,3,1,0.4,0.989813713832739,0.960897435897436
"115",0.01,3,1,0.5,0.987455410225922,0.956410256410256
"116",0.01,3,1,0.6,0.988135817148897,0.953418803418803
"117",0.01,3,1,0.7,0.986781609195402,0.956303418803419
"118",0.01,3,1,0.8,0.985731272294887,0.956196581196581
"119",0.01,3,1,0.9,0.985037653587,0.95534188034188
"120",0.01,3,1,1,0.98528867750033,0.952564102564103
"121",0.01,4,0.5,0.1,0.990144008455542,0.959401709401709
"122",0.01,4,0.5,0.2,0.991650151935527,0.961752136752137
"123",0.01,4,0.5,0.3,0.990771568238869,0.954059829059829
"124",0.01,4,0.5,0.4,0.992244682256573,0.95982905982906
"125",0.01,4,0.5,0.5,0.99142555159202,0.960042735042735
"126",0.01,4,0.5,0.6,0.99198044655833,0.958974358974359
"127",0.01,4,0.5,0.7,0.992145593869732,0.957692307692308
"128",0.01,4,0.5,0.8,0.990797991808693,0.954487179487179
"129",0.01,4,0.5,0.9,0.989245607081517,0.950213675213675
"130",0.01,4,0.5,1,0.98880301228696,0.951709401709402
"131",0.01,4,0.6,0.1,0.990546967895363,0.966239316239316
"132",0.01,4,0.6,0.2,0.993473378253402,0.955555555555555
