"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.2,70,0,1e-04,0.962511560311798,0.939316239316239
"2","Rectifier",0.2,70,0,1e-05,0.986543797066984,0.954700854700855
"3","Rectifier",0.2,70,0,1e-06,0.987706434139252,0.950641025641026
"4","Rectifier",0.2,70,0,1e-07,0.982976615140705,0.952777777777778
"5","Rectifier",0.2,70,0,1e-08,0.97874884396882,0.952991452991453
"6","Rectifier",0.2,70,0,1e-09,0.972704452371515,0.958119658119658
"7","Rectifier",0.2,70,0,1e-10,0.957702470603779,0.948290598290598
"8","Rectifier",0.2,70,-1,1e-04,0.954868542740124,0.933547008547009
"9","Rectifier",0.2,70,-1,1e-05,0.986015325670498,0.944230769230769
"10","Rectifier",0.2,70,-1,1e-06,0.988472717664156,0.955128205128205
"11","Rectifier",0.2,70,-1,1e-07,0.984509182190514,0.948931623931624
"12","Rectifier",0.2,70,-1,1e-08,0.979739727837231,0.957478632478633
"13","Rectifier",0.2,70,-1,1e-09,0.972810146650813,0.957478632478633
"14","Rectifier",0.2,70,-1,1e-10,0.959988109393579,0.951495726495727
"15","Rectifier",0.2,70,-2,1e-04,0.905905667855727,0.847008547008547
"16","Rectifier",0.2,70,-2,1e-05,0.968806975822434,0.943803418803419
"17","Rectifier",0.2,70,-2,1e-06,0.935790725326992,0.923717948717949
"18","Rectifier",0.2,70,-2,1e-07,0.947602061038446,0.944444444444444
"19","Rectifier",0.2,70,-2,1e-08,0.918892852424363,0.922008547008547
"20","Rectifier",0.2,70,-2,1e-09,0.966917690579997,0.942735042735043
"21","Rectifier",0.2,70,-2,1e-10,0.954643942396618,0.943162393162393
