"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,100,0,1e-04,0.987825340203462,0.944871794871795
"2","Rectifier",0,100,0,1e-05,0.999048751486326,0.963888888888889
"3","Rectifier",0,100,0,1e-06,0.999696128947021,0.957692307692308
"4","Rectifier",0,100,0,1e-07,0.998692033293698,0.949358974358974
"5","Rectifier",0,100,0,1e-08,0.994636015325671,0.953632478632479
"6","Rectifier",0,100,0,1e-09,0.987197780420135,0.953846153846154
"7","Rectifier",0,100,0,1e-10,0.971270973708548,0.956196581196581
"8","Rectifier",0,100,-1,1e-04,0.977077553177434,0.917307692307692
"9","Rectifier",0,100,-1,1e-05,0.999557405205443,0.942307692307692
"10","Rectifier",0,100,-1,1e-06,0.999828246796142,0.944871794871795
"11","Rectifier",0,100,-1,1e-07,0.997859690844233,0.95042735042735
"12","Rectifier",0,100,-1,1e-08,0.995296604571278,0.952564102564103
"13","Rectifier",0,100,-1,1e-09,0.987237415774871,0.958760683760684
"14","Rectifier",0,100,-1,1e-10,0.971231338353812,0.952991452991453
"15","Rectifier",0,100,-2,1e-04,0.953897476549082,0.919444444444445
"16","Rectifier",0,100,-2,1e-05,0.99593077024706,0.928846153846154
"17","Rectifier",0,100,-2,1e-06,0.958514995375875,0.90982905982906
"18","Rectifier",0,100,-2,1e-07,0.994067908574448,0.948717948717949
"19","Rectifier",0,100,-2,1e-08,0.989456995640111,0.941025641025641
"20","Rectifier",0,100,-2,1e-09,0.98281807372176,0.946153846153846
"21","Rectifier",0,100,-2,1e-10,0.96758488571806,0.951068376068376
