"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.2,20,0,1e-04,0.990844233055886,0.961858974358974
"2","Rectifier",0.2,20,0,1e-05,0.993446954683578,0.94957264957265
"3","Rectifier",0.2,20,0,1e-06,0.992026687805523,0.955128205128205
"4","Rectifier",0.2,20,0,1e-07,0.989635354736425,0.960042735042735
"5","Rectifier",0.2,20,0,1e-08,0.985486854274013,0.957905982905983
"6","Rectifier",0.2,20,0,1e-09,0.971825868674858,0.937820512820513
"7","Rectifier",0.2,20,0,1e-10,0.941029198044656,0.901709401709402
"8","Rectifier",0.2,20,-1,1e-04,0.963178755449861,0.924786324786325
"9","Rectifier",0.2,20,-1,1e-05,0.993169507200423,0.960363247863248
"10","Rectifier",0.2,20,-1,1e-06,0.99142555159202,0.960470085470086
"11","Rectifier",0.2,20,-1,1e-07,0.936405073325406,0.908547008547008
"12","Rectifier",0.2,20,-1,1e-08,0.985044259479456,0.955555555555555
"13","Rectifier",0.2,20,-1,1e-09,0.97017439556084,0.934615384615385
"14","Rectifier",0.2,20,-1,1e-10,0.942264499933941,0.897649572649573
"15","Rectifier",0.2,20,-2,1e-04,0.983425815827718,0.960897435897436
"16","Rectifier",0.2,20,-2,1e-05,0.987620557537323,0.935470085470085
"17","Rectifier",0.2,20,-2,1e-06,0.963561897212313,0.945512820512821
"18","Rectifier",0.2,20,-2,1e-07,0.988479323556612,0.954059829059829
"19","Rectifier",0.2,20,-2,1e-08,0.985387765887171,0.958333333333333
"20","Rectifier",0.2,20,-2,1e-09,0.967578279825604,0.935897435897436
"21","Rectifier",0.2,20,-2,1e-10,0.94327520147972,0.900854700854701
