"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,50,0,1e-04,0.95706169903554,0.936431623931624
"2","Rectifier",0,50,0,1e-05,0.998969480776853,0.961538461538461
"3","Rectifier",0,50,0,1e-06,0.999299775399656,0.961111111111111
"4","Rectifier",0,50,0,1e-07,0.997793631919672,0.963247863247863
"5","Rectifier",0,50,0,1e-08,0.996261064869864,0.961111111111111
"6","Rectifier",0,50,0,1e-09,0.991141498216409,0.958333333333333
"7","Rectifier",0,50,0,1e-10,0.97520147971991,0.936965811965812
"8","Rectifier",0,50,-1,1e-04,0.994900251023913,0.950213675213675
"9","Rectifier",0,50,-1,1e-05,0.939272030651341,0.904700854700855
"10","Rectifier",0,50,-1,1e-06,0.960800634165676,0.923076923076923
"11","Rectifier",0,50,-1,1e-07,0.998744880433347,0.965598290598291
"12","Rectifier",0,50,-1,1e-08,0.997859690844233,0.962179487179487
"13","Rectifier",0,50,-1,1e-09,0.991769057999736,0.957905982905983
"14","Rectifier",0,50,-1,1e-10,0.975630862729555,0.941025641025641
"15","Rectifier",0,50,-2,1e-04,0.941630334258158,0.878846153846154
"16","Rectifier",0,50,-2,1e-05,0.98285110318404,0.962820512820513
"17","Rectifier",0,50,-2,1e-06,0.963033425815828,0.922008547008547
"18","Rectifier",0,50,-2,1e-07,0.951532567049808,0.904059829059829
"19","Rectifier",0,50,-2,1e-08,0.996168582375479,0.96474358974359
"20","Rectifier",0,50,-2,1e-09,0.991914387633769,0.956410256410256
"21","Rectifier",0,50,-2,1e-10,0.974441802087462,0.937606837606838
