"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,100,0,1e-04,0.997304795877923,0.97457264957265
"2","Rectifier",0.1,100,0,1e-05,0.967644338750165,0.928632478632479
"3","Rectifier",0.1,100,0,1e-06,0.999484740388426,0.946367521367521
"4","Rectifier",0.1,100,0,1e-07,0.998824151142819,0.964102564102564
"5","Rectifier",0.1,100,0,1e-08,0.99926014004492,0.966239316239316
"6","Rectifier",0.1,100,0,1e-09,0.996036464526357,0.968376068376068
"7","Rectifier",0.1,100,0,1e-10,0.985876601928921,0.967735042735043
"8","Rectifier",0.1,100,-1,1e-04,0.995058792442859,0.957905982905983
"9","Rectifier",0.1,100,-1,1e-05,0.997859690844233,0.951923076923077
"10","Rectifier",0.1,100,-1,1e-06,0.961699035539701,0.946581196581197
"11","Rectifier",0.1,100,-1,1e-07,0.999458316818602,0.969017094017094
"12","Rectifier",0.1,100,-1,1e-08,0.99870524507861,0.963888888888889
"13","Rectifier",0.1,100,-1,1e-09,0.99611573523583,0.967735042735043
"14","Rectifier",0.1,100,-1,1e-10,0.985671819262782,0.966666666666667
"15","Rectifier",0.1,100,-2,1e-04,0.970616990355397,0.932799145299145
"16","Rectifier",0.1,100,-2,1e-05,0.990632844497292,0.942094017094017
"17","Rectifier",0.1,100,-2,1e-06,0.99678953626635,0.956837606837607
"18","Rectifier",0.1,100,-2,1e-07,0.9753534152464,0.961324786324786
"19","Rectifier",0.1,100,-2,1e-08,0.997820055489497,0.969444444444444
"20","Rectifier",0.1,100,-2,1e-09,0.958620689655172,0.939529914529915
"21","Rectifier",0.1,100,-2,1e-10,0.984687541286828,0.964316239316239
