"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,80,0,1e-04,0.956995640110979,0.920299145299145
"2","Rectifier",0,80,0,1e-05,0.981159994715286,0.973076923076923
"3","Rectifier",0,80,0,1e-06,0.965312458713172,0.949358974358974
"4","Rectifier",0,80,0,1e-07,0.999933941075439,0.968589743589744
"5","Rectifier",0,80,0,1e-08,0.999881093935791,0.968803418803419
"6","Rectifier",0,80,0,1e-09,0.997793631919672,0.969444444444444
"7","Rectifier",0,80,0,1e-10,0.986094596379971,0.963034188034188
"8","Rectifier",0,80,-1,1e-04,0.951790196855595,0.920940170940171
"9","Rectifier",0,80,-1,1e-05,0.972532699167658,0.966239316239316
"10","Rectifier",0,80,-1,1e-06,0.949088386841062,0.944444444444444
"11","Rectifier",0,80,-1,1e-07,0.962267142290923,0.949358974358974
"12","Rectifier",0,80,-1,1e-08,0.999762187871581,0.966452991452992
"13","Rectifier",0,80,-1,1e-09,0.997172678028802,0.966880341880342
"14","Rectifier",0,80,-1,1e-10,0.985988902100674,0.964316239316239
"15","Rectifier",0,80,-2,1e-04,0.979349980182323,0.948931623931624
"16","Rectifier",0,80,-2,1e-05,0.974937244021667,0.954059829059829
"17","Rectifier",0,80,-2,1e-06,0.96869467565068,0.948076923076923
"18","Rectifier",0,80,-2,1e-07,0.964790593209143,0.95982905982906
"19","Rectifier",0,80,-2,1e-08,0.999180869335447,0.964102564102564
"20","Rectifier",0,80,-2,1e-09,0.996763112696525,0.966239316239316
"21","Rectifier",0,80,-2,1e-10,0.984429911481041,0.956196581196581
