"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,700,0,1e-04,0.979396551724138,0.966559829059829
"2","Rectifier",0.1,700,0,1e-05,0.967513262599469,0.925854700854701
"3","Rectifier",0.1,700,0,1e-06,0.973919098143236,0.953418803418803
"4","Rectifier",0.1,700,0,1e-07,0.967572944297082,0.956623931623932
"5","Rectifier",0.1,700,0,1e-08,0.973587533156499,0.948931623931624
"6","Rectifier",0.1,700,0,1e-09,0.998580901856764,0.946153846153846
"7","Rectifier",0.1,700,0,1e-10,0.993919098143236,0.968589743589744
"8","Rectifier",0.1,700,-1,1e-04,0.997082228116711,0.941880341880342
"9","Rectifier",0.1,700,-1,1e-05,0.999920424403183,0.930769230769231
"10","Rectifier",0.1,700,-1,1e-06,0.977824933687003,0.961752136752137
"11","Rectifier",0.1,700,-1,1e-07,1,0.926282051282051
"12","Rectifier",0.1,700,-1,1e-08,0.966909814323607,0.941239316239316
"13","Rectifier",0.1,700,-1,1e-09,0.998209549071618,0.942735042735043
"14","Rectifier",0.1,700,-1,1e-10,0.994535809018568,0.966239316239316
"15","Rectifier",0.1,700,-2,1e-04,0.984628647214854,0.967200854700855
"16","Rectifier",0.1,700,-2,1e-05,0.998660477453581,0.948504273504273
"17","Rectifier",0.1,700,-2,1e-06,0.999496021220159,0.941025641025641
"18","Rectifier",0.1,700,-2,1e-07,0.983435013262599,0.95982905982906
"19","Rectifier",0.1,700,-2,1e-08,0.983209549071618,0.971581196581197
"20","Rectifier",0.1,700,-2,1e-09,0.998315649867374,0.944871794871795
"21","Rectifier",0.1,700,-2,1e-10,0.994582228116711,0.963247863247863
