"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.2,90,0,1e-04,0.974549071618037,0.971581196581197
"2","Rectifier",0.2,90,0,1e-05,0.993096816976127,0.964957264957265
"3","Rectifier",0.2,90,0,1e-06,0.994244031830239,0.967307692307692
"4","Rectifier",0.2,90,0,1e-07,0.99236074270557,0.958547008547009
"5","Rectifier",0.2,90,0,1e-08,0.988594164456233,0.973076923076923
"6","Rectifier",0.2,90,0,1e-09,0.982917771883289,0.973717948717949
"7","Rectifier",0.2,90,0,1e-10,0.978189655172414,0.96965811965812
"8","Rectifier",0.2,90,-1,1e-04,0.982566312997348,0.971367521367521
"9","Rectifier",0.2,90,-1,1e-05,0.976226790450928,0.974145299145299
"10","Rectifier",0.2,90,-1,1e-06,0.994681697612732,0.967307692307692
"11","Rectifier",0.2,90,-1,1e-07,0.991392572944297,0.956196581196581
"12","Rectifier",0.2,90,-1,1e-08,0.988733421750663,0.973717948717949
"13","Rectifier",0.2,90,-1,1e-09,0.982586206896552,0.973504273504274
"14","Rectifier",0.2,90,-1,1e-10,0.97882625994695,0.970299145299145
"15","Rectifier",0.2,90,-2,1e-04,0.974834217506631,0.966559829059829
"16","Rectifier",0.2,90,-2,1e-05,0.981929708222812,0.952350427350427
"17","Rectifier",0.2,90,-2,1e-06,0.980232095490716,0.962606837606838
"18","Rectifier",0.2,90,-2,1e-07,0.964323607427056,0.947863247863248
"19","Rectifier",0.2,90,-2,1e-08,0.97709549071618,0.969444444444444
"20","Rectifier",0.2,90,-2,1e-09,0.982128647214854,0.964957264957265
"21","Rectifier",0.2,90,-2,1e-10,0.979336870026525,0.973076923076923
