"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,700,0,1e-04,0.974436339522546,0.94059829059829
"2","Rectifier",0,700,0,1e-05,0.979834217506631,0.93974358974359
"3","Rectifier",0,700,0,1e-06,0.979953580901857,0.952136752136752
"4","Rectifier",0,700,0,1e-07,0.977798408488064,0.928846153846154
"5","Rectifier",0,700,0,1e-08,0.957161803713528,0.890811965811966
"6","Rectifier",0,700,0,1e-09,1,0.95042735042735
"7","Rectifier",0,700,0,1e-10,0.999323607427056,0.950213675213675
"8","Rectifier",0,700,-1,1e-04,0.982035809018568,0.969871794871795
"9","Rectifier",0,700,-1,1e-05,0.986346153846154,0.964529914529915
"10","Rectifier",0,700,-1,1e-06,0.978932360742706,0.958333333333333
"11","Rectifier",0,700,-1,1e-07,0.97301724137931,0.939957264957265
"12","Rectifier",0,700,-1,1e-08,0.954966843501326,0.883119658119658
"13","Rectifier",0,700,-1,1e-09,0.99998673740053,0.943376068376068
"14","Rectifier",0,700,-1,1e-10,0.999230769230769,0.954487179487179
"15","Rectifier",0,700,-2,1e-04,0.989602122015915,0.968589743589744
"16","Rectifier",0,700,-2,1e-05,0.992718832891247,0.975641025641026
"17","Rectifier",0,700,-2,1e-06,0.990503978779841,0.956196581196581
"18","Rectifier",0,700,-2,1e-07,0.981425729442971,0.928205128205128
"19","Rectifier",0,700,-2,1e-08,0.984588859416446,0.934188034188034
"20","Rectifier",0,700,-2,1e-09,0.97751326259947,0.943162393162393
"21","Rectifier",0,700,-2,1e-10,0.998541114058356,0.959401709401709
