"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,20,0,1e-04,0.985364721485411,0.966239316239316
"2","Rectifier",0,20,0,1e-05,0.976007957559682,0.925641025641026
"3","Rectifier",0,20,0,1e-06,0.984635278514589,0.945512820512821
"4","Rectifier",0,20,0,1e-07,0.995915119363395,0.963461538461538
"5","Rectifier",0,20,0,1e-08,0.992188328912467,0.964529914529915
"6","Rectifier",0,20,0,1e-09,0.986233421750663,0.94465811965812
"7","Rectifier",0,20,0,1e-10,0.978998673740053,0.928632478632479
"8","Rectifier",0,20,-1,1e-04,0.985543766578249,0.960897435897436
"9","Rectifier",0,20,-1,1e-05,0.985954907161804,0.968803418803419
"10","Rectifier",0,20,-1,1e-06,0.998368700265252,0.962179487179487
"11","Rectifier",0,20,-1,1e-07,0.995411140583554,0.961324786324786
"12","Rectifier",0,20,-1,1e-08,0.991511936339523,0.954700854700855
"13","Rectifier",0,20,-1,1e-09,0.986114058355438,0.944230769230769
"14","Rectifier",0,20,-1,1e-10,0.979827586206896,0.924358974358974
"15","Rectifier",0,20,-2,1e-04,0.988037135278515,0.961111111111111
"16","Rectifier",0,20,-2,1e-05,0.997201591511936,0.956410256410256
"17","Rectifier",0,20,-2,1e-06,0.997586206896552,0.963888888888889
"18","Rectifier",0,20,-2,1e-07,0.983388594164456,0.948504273504273
"19","Rectifier",0,20,-2,1e-08,0.990610079575597,0.957478632478633
"20","Rectifier",0,20,-2,1e-09,0.985862068965517,0.943589743589744
"21","Rectifier",0,20,-2,1e-10,0.97854774535809,0.924145299145299
