"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0.1,800,0,1e-04,0.999164456233422,0.969444444444444
"2","Rectifier",0.1,800,0,1e-05,1,0.960683760683761
"3","Rectifier",0.1,800,0,1e-06,0.98131299734748,0.969017094017094
"4","Rectifier",0.1,800,0,1e-07,0.972102122015915,0.966666666666667
"5","Rectifier",0.1,800,0,1e-08,0.96736074270557,0.961965811965812
"6","Rectifier",0.1,800,0,1e-09,0.999018567639257,0.952991452991453
"7","Rectifier",0.1,800,0,1e-10,0.995848806366048,0.970299145299145
"8","Rectifier",0.1,800,-1,1e-04,0.979476127320955,0.976923076923077
"9","Rectifier",0.1,800,-1,1e-05,0.977387267904509,0.947649572649573
"10","Rectifier",0.1,800,-1,1e-06,0.981677718832891,0.968803418803419
"11","Rectifier",0.1,800,-1,1e-07,0.978614058355438,0.962393162393162
"12","Rectifier",0.1,800,-1,1e-08,1,0.967521367521367
"13","Rectifier",0.1,800,-1,1e-09,0.99946949602122,0.963888888888889
"14","Rectifier",0.1,800,-1,1e-10,0.996432360742706,0.969444444444444
"15","Rectifier",0.1,800,-2,1e-04,0.993753315649867,0.965491452991453
"16","Rectifier",0.1,800,-2,1e-05,0.997493368700265,0.944230769230769
"17","Rectifier",0.1,800,-2,1e-06,0.999522546419098,0.961111111111111
"18","Rectifier",0.1,800,-2,1e-07,0.999854111405835,0.958547008547009
"19","Rectifier",0.1,800,-2,1e-08,0.999973474801061,0.962820512820513
"20","Rectifier",0.1,800,-2,1e-09,0.96959549071618,0.963034188034188
"21","Rectifier",0.1,800,-2,1e-10,0.996100795755968,0.966880341880342
