"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,60,0,1e-04,0.975915119363395,0.945299145299145
"2","Rectifier",0,60,0,1e-05,0.97643899204244,0.94957264957265
"3","Rectifier",0,60,0,1e-06,0.97409151193634,0.955769230769231
"4","Rectifier",0,60,0,1e-07,0.999442970822281,0.962820512820513
"5","Rectifier",0,60,0,1e-08,0.997877984084881,0.964957264957265
"6","Rectifier",0,60,0,1e-09,0.993050397877984,0.964529914529915
"7","Rectifier",0,60,0,1e-10,0.984456233421751,0.963461538461538
"8","Rectifier",0,60,-1,1e-04,0.981133952254642,0.963354700854701
"9","Rectifier",0,60,-1,1e-05,0.982314323607427,0.960470085470086
"10","Rectifier",0,60,-1,1e-06,0.973209549071618,0.918589743589744
"11","Rectifier",0,60,-1,1e-07,0.968474801061008,0.942521367521368
"12","Rectifier",0,60,-1,1e-08,0.997917771883289,0.963888888888889
"13","Rectifier",0,60,-1,1e-09,0.992340848806366,0.966452991452992
"14","Rectifier",0,60,-1,1e-10,0.982911140583554,0.957264957264957
"15","Rectifier",0,60,-2,1e-04,0.979476127320955,0.94465811965812
"16","Rectifier",0,60,-2,1e-05,0.986710875331565,0.973717948717949
"17","Rectifier",0,60,-2,1e-06,0.98209549071618,0.963247863247863
"18","Rectifier",0,60,-2,1e-07,0.998129973474801,0.959615384615385
"19","Rectifier",0,60,-2,1e-08,0.997267904509284,0.963034188034188
"20","Rectifier",0,60,-2,1e-09,0.992453580901857,0.961965811965812
"21","Rectifier",0,60,-2,1e-10,0.981611405835544,0.958974358974359
