"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","train_AUC","val_AUC"
"1","Rectifier",0,30,0,1e-04,0.973189655172414,0.972863247863248
"2","Rectifier",0,30,0,1e-05,0.992009283819629,0.969444444444444
"3","Rectifier",0,30,0,1e-06,0.991273209549072,0.973504273504274
"4","Rectifier",0,30,0,1e-07,0.978527851458886,0.979273504273504
"5","Rectifier",0,30,0,1e-08,0.983494694960212,0.977350427350427
"6","Rectifier",0,30,0,1e-09,0.981637931034483,0.980982905982906
"7","Rectifier",0,30,0,1e-10,0.979137931034483,0.983333333333333
"8","Rectifier",0,30,-1,1e-04,0.979893899204244,0.966666666666667
"9","Rectifier",0,30,-1,1e-05,0.99290450928382,0.965598290598291
"10","Rectifier",0,30,-1,1e-06,0.979542440318302,0.981196581196581
"11","Rectifier",0,30,-1,1e-07,0.987241379310345,0.976068376068376
"12","Rectifier",0,30,-1,1e-08,0.983846153846154,0.979059829059829
"13","Rectifier",0,30,-1,1e-09,0.981797082228117,0.980128205128205
"14","Rectifier",0,30,-1,1e-10,0.980278514588859,0.981410256410256
"15","Rectifier",0,30,-2,1e-04,0.99,0.966025641025641
"16","Rectifier",0,30,-2,1e-05,0.978846153846154,0.957264957264957
"17","Rectifier",0,30,-2,1e-06,0.973501326259947,0.95534188034188
"18","Rectifier",0,30,-2,1e-07,0.986133952254642,0.966880341880342
"19","Rectifier",0,30,-2,1e-08,0.983846153846154,0.97948717948718
"20","Rectifier",0,30,-2,1e-09,0.981558355437666,0.980128205128205
"21","Rectifier",0,30,-2,1e-10,0.979370026525199,0.981410256410256
