"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.2,70,0,1e-04,0.9100334,0.8698986,0.82826364,0.8555668
"2","Rectifier",0.2,70,0,1e-05,0.918698,0.8775379,0.8220955,0.8874078
"3","Rectifier",0.2,70,0,1e-06,0.9294716,0.8936025,0.87004364,0.8682944
"4","Rectifier",0.2,70,0,1e-07,0.92755,0.89519495,0.86618096,0.8690768
"5","Rectifier",0.2,70,0,1e-08,0.9105357,0.86642104,0.7981925,0.89597803
"6","Rectifier",0.2,70,0,1e-09,0.9037139,0.84981495,0.78390706,0.87470984
"7","Rectifier",0.2,70,0,1e-10,0.8858323,0.8374151,0.78031063,0.84514093
"8","Rectifier",0.2,70,-1,1e-04,0.91590166,0.87863785,0.8298198,0.8551899
"9","Rectifier",0.2,70,-1,1e-05,0.9178204,0.88095134,0.83395064,0.86875457
"10","Rectifier",0.2,70,-1,1e-06,0.92675334,0.8927954,0.8464747,0.8877816
"11","Rectifier",0.2,70,-1,1e-07,0.9245289,0.88368213,0.8343961,0.88187057
"12","Rectifier",0.2,70,-1,1e-08,0.91401196,0.8684356,0.80795604,0.87258387
"13","Rectifier",0.2,70,-1,1e-09,0.9016987,0.84365034,0.7667485,0.8752224
"14","Rectifier",0.2,70,-1,1e-10,0.8839837,0.8266811,0.75625944,0.8612386
"15","Rectifier",0.2,70,-2,1e-04,0.9029611,0.8613087,0.8124765,0.85392106
"16","Rectifier",0.2,70,-2,1e-05,0.9222235,0.8690303,0.79908484,0.88488895
"17","Rectifier",0.2,70,-2,1e-06,0.91590595,0.8829499,0.83267653,0.87459207
"18","Rectifier",0.2,70,-2,1e-07,0.9230303,0.8766609,0.8202702,0.8800735
"19","Rectifier",0.2,70,-2,1e-08,0.91527796,0.8765684,0.82495266,0.87671036
"20","Rectifier",0.2,70,-2,1e-09,0.8997145,0.84044737,0.7597658,0.8762121
"21","Rectifier",0.2,70,-2,1e-10,0.8793739,0.8144077,0.71381867,0.8919512
