"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,50,0,1e-04,0.8892808,0.8514643,0.7920958,0.8325387
"2","Rectifier",0,50,0,1e-05,0.8833313,0.8378298,0.7666897,0.85139436
"3","Rectifier",0,50,0,1e-06,0.8894447,0.847272,0.778612,0.86479855
"4","Rectifier",0,50,0,1e-07,0.91552323,0.86250293,0.8029948,0.88214767
"5","Rectifier",0,50,0,1e-08,0.90377206,0.8491075,0.78344417,0.871732
"6","Rectifier",0,50,0,1e-09,0.89372975,0.8357079,0.75653964,0.88993764
"7","Rectifier",0,50,0,1e-10,0.8853104,0.8340415,0.7795349,0.8432963
"8","Rectifier",0,50,-1,1e-04,0.8939572,0.84692633,0.7891222,0.8336487
"9","Rectifier",0,50,-1,1e-05,0.89660764,0.86294603,0.8483929,0.81060654
"10","Rectifier",0,50,-1,1e-06,0.90161175,0.8525433,0.7898006,0.8568715
"11","Rectifier",0,50,-1,1e-07,0.90612817,0.8620555,0.80934495,0.85503954
"12","Rectifier",0,50,-1,1e-08,0.8987368,0.8513626,0.80211645,0.8227151
"13","Rectifier",0,50,-1,1e-09,0.8961387,0.8485263,0.79635495,0.85607153
"14","Rectifier",0,50,-1,1e-10,0.88668394,0.8295811,0.7529681,0.84762067
"15","Rectifier",0,50,-2,1e-04,0.9021273,0.8613904,0.80703455,0.8543136
"16","Rectifier",0,50,-2,1e-05,0.8929168,0.8551733,0.81504476,0.83210695
"17","Rectifier",0,50,-2,1e-06,0.89460707,0.85064805,0.7936647,0.8463028
"18","Rectifier",0,50,-2,1e-07,0.90536076,0.8547608,0.7971103,0.8532362
"19","Rectifier",0,50,-2,1e-08,0.90207803,0.86063063,0.8343243,0.82845694
"20","Rectifier",0,50,-2,1e-09,0.89564824,0.8398553,0.76362556,0.872641
"21","Rectifier",0,50,-2,1e-10,0.88852763,0.8369184,0.7883803,0.845934
