"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC"
"1","Rectifier",0,20,0,1e-04,0.8918447
"2","Rectifier",0,20,0,1e-05,0.9083643
"3","Rectifier",0,20,0,1e-06,0.9045489
"4","Rectifier",0,20,0,1e-07,0.9022256
"5","Rectifier",0,20,0,1e-08,0.9057518
"6","Rectifier",0,20,0,1e-09,0.88762426
"7","Rectifier",0,20,0,1e-10,0.84455705
"8","Rectifier",0,20,-1,1e-04,0.9098957
"9","Rectifier",0,20,-1,1e-05,0.8946318
"10","Rectifier",0,20,-1,1e-06,0.89638436
"11","Rectifier",0,20,-1,1e-07,0.9004527
"12","Rectifier",0,20,-1,1e-08,0.9060992
"13","Rectifier",0,20,-1,1e-09,0.8905694
"14","Rectifier",0,20,-1,1e-10,0.8432963
"15","Rectifier",0,20,-2,1e-04,0.8925563
"16","Rectifier",0,20,-2,1e-05,0.88938934
"17","Rectifier",0,20,-2,1e-06,0.88959175
"18","Rectifier",0,20,-2,1e-07,0.8970887
"19","Rectifier",0,20,-2,1e-08,0.89236975
"20","Rectifier",0,20,-2,1e-09,0.88872206
"21","Rectifier",0,20,-2,1e-10,0.84787697
"22","Rectifier",0,30,0,1e-04,0.89351
"23","Rectifier",0,30,0,1e-05,0.8958615
"24","Rectifier",0,30,0,1e-06,0.8977507
"25","Rectifier",0,30,0,1e-07,0.89521116
"26","Rectifier",0,30,0,1e-08,0.9081525
"27","Rectifier",0,30,0,1e-09,0.8970867
"28","Rectifier",0,30,0,1e-10,0.8620655
"29","Rectifier",0,30,-1,1e-04,0.90605974
"30","Rectifier",0,30,-1,1e-05,0.9037482
"31","Rectifier",0,30,-1,1e-06,0.8932824
"32","Rectifier",0,30,-1,1e-07,0.89610094
"33","Rectifier",0,30,-1,1e-08,0.90544784
"34","Rectifier",0,30,-1,1e-09,0.8938435
"35","Rectifier",0,30,-1,1e-10,0.8618867
"36","Rectifier",0,30,-2,1e-04,0.8970022
"37","Rectifier",0,30,-2,1e-05,0.900742
"38","Rectifier",0,30,-2,1e-06,0.9008018
"39","Rectifier",0,30,-2,1e-07,0.89142
"40","Rectifier",0,30,-2,1e-08,0.89196044
"41","Rectifier",0,30,-2,1e-09,0.8965032
"42","Rectifier",0,30,-2,1e-10,0.86612254
"43","Rectifier",0,40,0,1e-04,0.9001871
"44","Rectifier",0,40,0,1e-05,0.90584546
"45","Rectifier",0,40,0,1e-06,0.89863324
"46","Rectifier",0,40,0,1e-07,0.88793397
"47","Rectifier",0,40,0,1e-08,0.9008856
"48","Rectifier",0,40,0,1e-09,0.8986416
"49","Rectifier",0,40,0,1e-10,0.8732613
"50","Rectifier",0,40,-1,1e-04,0.9130782
"51","Rectifier",0,40,-1,1e-05,0.8961285
"52","Rectifier",0,40,-1,1e-06,0.8876005
