"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Tanh",0,600,0,1e-04,0.8570712,0.84411854,0.8192975,0.8056245
"2","Tanh",0,600,0,1e-05,0.894477,0.87040824,0.8367777,0.84506625
"3","Tanh",0,600,0,1e-06,0.8875625,0.8517774,0.81067526,0.8304681
"4","Tanh",0,600,0,1e-07,0.8849159,0.8528024,0.80297655,0.8386534
"5","Tanh",0,600,0,1e-08,0.89397204,0.8594227,0.828219,0.82875466
"6","Tanh",0,600,0,1e-09,0.89892405,0.86880374,0.83523446,0.8434659
"7","Tanh",0,600,0,1e-10,0.913386,0.87433606,0.8397562,0.86511207
"8","Tanh",0,600,-1,1e-04,0.8818366,0.8548684,0.8160152,0.8385307
"9","Tanh",0,600,-1,1e-05,0.8896056,0.860827,0.8348973,0.8223405
"10","Tanh",0,600,-1,1e-06,0.8974695,0.8582059,0.83592784,0.8220336
"11","Tanh",0,600,-1,1e-07,0.89291084,0.851209,0.81472,0.8275761
"12","Tanh",0,600,-1,1e-08,0.8935874,0.86121595,0.83131045,0.82880044
"13","Tanh",0,600,-1,1e-09,0.9025097,0.866175,0.81106913,0.87722844
"14","Tanh",0,600,-1,1e-10,0.9126934,0.8736165,0.8372746,0.86544037
"15","Tanh",0,600,-2,1e-04,0.83992344,0.8151324,0.79011804,0.770678
"16","Tanh",0,600,-2,1e-05,0.8945771,0.86106044,0.84520936,0.8134045
"17","Tanh",0,600,-2,1e-06,0.8938241,0.8553626,0.8089448,0.86269814
"18","Tanh",0,600,-2,1e-07,0.8885827,0.85488665,0.8277716,0.82970285
"19","Tanh",0,600,-2,1e-08,0.886828,0.8560328,0.8310785,0.8044022
"20","Tanh",0,600,-2,1e-09,0.9069521,0.8631584,0.80931336,0.86780053
"21","Tanh",0,600,-2,1e-10,0.91148835,0.87266135,0.8269841,0.8722841
