"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.05,30,0,1e-04,0.916503,0.8921907,0.8689057,0.8632118
"2","Rectifier",0.05,30,0,1e-05,0.9257365,0.8943051,0.89408493,0.8413066
"3","Rectifier",0.05,30,0,1e-06,0.93116903,0.8949033,0.8761577,0.85637814
"4","Rectifier",0.05,30,0,1e-07,0.9293114,0.8953104,0.8850285,0.85980105
"5","Rectifier",0.05,30,0,1e-08,0.94045556,0.90174764,0.8923354,0.8732595
"6","Rectifier",0.05,30,0,1e-09,0.93638635,0.906087,0.9110809,0.85403144
"7","Rectifier",0.05,30,0,1e-10,0.9136845,0.8686236,0.83357954,0.8578612
"8","Rectifier",0.05,30,-1,1e-04,0.9029999,0.87908304,0.8936869,0.7983423
"9","Rectifier",0.05,30,-1,1e-05,0.9295831,0.8980961,0.89201087,0.8495683
"10","Rectifier",0.05,30,-1,1e-06,0.9281977,0.9060055,0.91769654,0.8409915
"11","Rectifier",0.05,30,-1,1e-07,0.9291875,0.8977954,0.8878163,0.8630793
"12","Rectifier",0.05,30,-1,1e-08,0.9425003,0.9127065,0.9132779,0.8673891
"13","Rectifier",0.05,30,-1,1e-09,0.9368209,0.90221053,0.8860093,0.87753963
"14","Rectifier",0.05,30,-1,1e-10,0.91313785,0.8666991,0.8273285,0.867397
"15","Rectifier",0.05,30,-2,1e-04,0.9364985,0.8980541,0.8594324,0.88898236
"16","Rectifier",0.05,30,-2,1e-05,0.9361912,0.9035219,0.87875193,0.87994003
"17","Rectifier",0.05,30,-2,1e-06,0.93746793,0.9048104,0.89284587,0.86866146
"18","Rectifier",0.05,30,-2,1e-07,0.9288585,0.8923248,0.8779928,0.8585592
"19","Rectifier",0.05,30,-2,1e-08,0.94227237,0.91522807,0.9285592,0.85711765
"20","Rectifier",0.05,30,-2,1e-09,0.93824387,0.90694416,0.90126985,0.86367875
"21","Rectifier",0.05,30,-2,1e-10,0.9193723,0.8837064,0.86030984,0.84628683
