"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,800,0,1e-04,0.9175821,0.8850985,0.848674,0.85954225
"2","Rectifier",0,800,0,1e-05,0.9297569,0.89845884,0.8774508,0.86432916
"3","Rectifier",0,800,0,1e-06,0.9130314,0.88830614,0.8672089,0.8634756
"4","Rectifier",0,800,0,1e-07,0.91699386,0.87784463,0.84881556,0.8509047
"5","Rectifier",0,800,0,1e-08,0.88083994,0.83507985,0.7721093,0.8423777
"6","Rectifier",0,800,0,1e-09,0.9082186,0.86449564,0.8230257,0.88347554
"7","Rectifier",0,800,0,1e-10,0.9401517,0.9127386,0.9374856,0.8448372
"8","Rectifier",0,800,-1,1e-04,0.91532874,0.8978843,0.92269427,0.8135575
"9","Rectifier",0,800,-1,1e-05,0.90422946,0.87349623,0.8436406,0.85163474
"10","Rectifier",0,800,-1,1e-06,0.92602074,0.9033164,0.89767474,0.8586361
"11","Rectifier",0,800,-1,1e-07,0.913648,0.87634844,0.8392506,0.85125756
"12","Rectifier",0,800,-1,1e-08,0.8806608,0.8358233,0.77459973,0.82968324
"13","Rectifier",0,800,-1,1e-09,0.9094452,0.8779451,0.8490163,0.85498273
"14","Rectifier",0,800,-1,1e-10,0.9422692,0.9096232,0.9063788,0.8652756
"15","Rectifier",0,800,-2,1e-04,0.93627256,0.9036798,0.87670887,0.8893973
"16","Rectifier",0,800,-2,1e-05,0.92931515,0.9055067,0.91771144,0.8393592
"17","Rectifier",0,800,-2,1e-06,0.93702775,0.9073428,0.9049842,0.8572148
"18","Rectifier",0,800,-2,1e-07,0.92628115,0.9001426,0.8961301,0.8556082
"19","Rectifier",0,800,-2,1e-08,0.9282942,0.8919782,0.88190633,0.84469295
"20","Rectifier",0,800,-2,1e-09,0.9226769,0.8897859,0.8968868,0.816633
"21","Rectifier",0,800,-2,1e-10,0.928221,0.8839744,0.8768599,0.8587296
