"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0.05,30,0,1e-04,0.5402474,0.45559898,0.42588788,0.9578788
"2","Rectifier",0.05,30,0,1e-05,0.5870197,0.5304259,0.45564163,0.91355264
"3","Rectifier",0.05,30,0,1e-06,0.58813375,0.51302296,0.45314977,0.947767
"4","Rectifier",0.05,30,0,1e-07,0.5876384,0.51069736,0.45176262,0.9491898
"5","Rectifier",0.05,30,0,1e-08,0.587616,0.5102213,0.4501912,0.9607948
"6","Rectifier",0.05,30,0,1e-09,0.58929425,0.5043277,0.44989756,0.96801174
"7","Rectifier",0.05,30,0,1e-10,0.59263456,0.52378565,0.45504016,0.9505265
"8","Rectifier",0.05,30,-1,1e-04,0.55336636,0.46349353,0.431219,0.95699644
"9","Rectifier",0.05,30,-1,1e-05,0.5853929,0.51886266,0.4498608,0.91687924
"10","Rectifier",0.05,30,-1,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"11","Rectifier",0.05,30,-1,1e-07,0.5860592,0.51069736,0.45176262,0.9394337
"12","Rectifier",0.05,30,-1,1e-08,0.5824053,0.51310337,0.4498507,0.9272456
"13","Rectifier",0.05,30,-1,1e-09,0.5809797,0.5202325,0.45043162,0.91687924
"14","Rectifier",0.05,30,-1,1e-10,0.5923341,0.5313816,0.45802796,0.9334068
"15","Rectifier",0.05,30,-2,1e-04,0.54849863,0.4623783,0.4295787,0.9578619
"16","Rectifier",0.05,30,-2,1e-05,0.5895566,0.51069736,0.45176262,0.9394337
"17","Rectifier",0.05,30,-2,1e-06,0.5861063,0.50822824,0.45069996,0.9394337
"18","Rectifier",0.05,30,-2,1e-07,0.5860592,0.51069736,0.45176262,0.9394337
"19","Rectifier",0.05,30,-2,1e-08,0.5840705,0.523928,0.452617,0.9283376
"20","Rectifier",0.05,30,-2,1e-09,0.586964,0.52291393,0.45184532,0.9321307
"21","Rectifier",0.05,30,-2,1e-10,0.5855267,0.5073533,0.44923258,0.9456414
