"","activation","input_dropout_ratio","epochs","train_samples_per_iteration","epsilon","AUC","accuracy","precision","recall"
"1","Rectifier",0,40,0,1e-04,0.58599067,0.5096221,0.45142367,0.9394337
"2","Rectifier",0,40,0,1e-05,0.59007835,0.51507753,0.45180997,0.930794
"3","Rectifier",0,40,0,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"4","Rectifier",0,40,0,1e-07,0.5846732,0.51891655,0.4534434,0.930794
"5","Rectifier",0,40,0,1e-08,0.59104526,0.53200483,0.45672095,0.9418868
"6","Rectifier",0,40,0,1e-09,0.58071035,0.506254,0.44717073,0.9341206
"7","Rectifier",0,40,0,1e-10,0.5932443,0.5251555,0.4558384,0.9536515
"8","Rectifier",0,40,-1,1e-04,0.5536432,0.462728,0.425335,0.9567948
"9","Rectifier",0,40,-1,1e-05,0.59025234,0.5126324,0.45067278,0.927669
"10","Rectifier",0,40,-1,1e-06,0.58813375,0.51302296,0.45314977,0.947767
"11","Rectifier",0,40,-1,1e-07,0.5827252,0.51585233,0.45061174,0.92864394
"12","Rectifier",0,40,-1,1e-08,0.5912485,0.53200483,0.45672095,0.9418868
"13","Rectifier",0,40,-1,1e-09,0.5833718,0.5216024,0.45122987,0.92976034
"14","Rectifier",0,40,-1,1e-10,0.5932443,0.5251555,0.4558384,0.9536515
"15","Rectifier",0,40,-2,1e-04,0.52814597,0.4307764,0.4144212,0.9837923
"16","Rectifier",0,40,-2,1e-05,0.5855928,0.506254,0.44739822,0.9372456
"17","Rectifier",0,40,-2,1e-06,0.58585596,0.51069736,0.45176262,0.9394337
"18","Rectifier",0,40,-2,1e-07,0.5876453,0.5198196,0.4536322,0.94556206
"19","Rectifier",0,40,-2,1e-08,0.5932443,0.5251555,0.4558384,0.9536515
"20","Rectifier",0,40,-2,1e-09,0.59016323,0.5265254,0.45483923,0.9518868
"21","Rectifier",0,40,-2,1e-10,0.592994,0.52762467,0.45690107,0.9536515
